"Year","Winner","Dogs eaten","Country","New record"
1980,"Paul Siederman & Joe Baldini",9.1,"United States",0
1981,"Thomas DeBerry ",11,"United States",0
1982,"Steven Abrams ",11,"United States",0
1983,"Luis Llamas ",19.5,"Mexico",0
1984,"Birgit Felden ",9.5,"Germany",0
1985,"Oscar Rodriguez ",11.75,"United States",0
1986,"Mark Heller ",15.5,"United States",0
1987,"Don Wolfman ",12,"United States",0
1988,"Jay Green ",14,"United States",0
1989,"Jay Green ",13,"United States",0
1990,"Mike DeVito ",16,"United States",0
1991,"Frank Dellarosa ",21.5,"United States",1
1992,"Frank Dellarosa ",19,"United States",0
1993,"Mike DeVito ",17,"United States",0
1994,"Mike DeVito ",20,"United States",0
1995,"Edward Krachie ",19.5,"United States",0
1996,"Edward Krachie ",22.25,"United States",1
1997,"Hirofumi Nakajima ",24.5,"Japan",1
1998,"Hirofumi Nakajima ",19,"Japan",0
1999,"Steve Keiner ",20.25,"United States",0
2000,"Kazutoyo ""The Rabbit"" Arai ",25.13,"Japan",1
2001,"Takeru Kobayashi ",50,"Japan",1
2002,"Takeru Kobayashi ",50.5,"Japan",1
2003,"Takeru Kobayashi ",44.5,"Japan",0
2004,"Takeru Kobayashi ",53.5,"Japan",1
2005,"Takeru Kobayashi ",49,"Japan",0
2006,"Takeru ""Tsunami"" Kobayashi ",53.75,"Japan",1
2007,"Joey Chestnut ",66,"United States",1
2008,"Joey Chestnut ",59,"United States",0
2009,"Joey Chestnut ",68,"United States",1
2010,"Joey Chestnut ",54,"United States",0
