lemma,n
back,223
so,215
just,180
when,178
very,171
now,166
then,165
all,147
how,136
there,123
never,120
here,114
first,113
only,111
more,110
where,107
even,105
again,101
too,101
down,97
right,95
next,94
still,91
other,89
good,87
last,83
as,81
out,80
much,76
really,73
long,71
away,69
suddenly,69
why,68
little,66
at,64
not,64
great,63
ever,60
around,58
old,58
black,55
on,54
few,53
once,53
large,51
almost,47
enough,47
about,46
open,46
quickly,44
already,43
later,43
sure,43
up,42
better,40
dark,40
always,38
else,38
new,38
course,37
full,37
nearly,37
off,37
same,37
second,37
of,35
best,34
high,34
over,34
well,34
in,33
own,33
whole,33
forward,32
quite,32
small,32
white,32
hard,30
most,30
inside,29
bad,28
before,27
big,27
able,26
cold,26
green,26
many,26
red,26
yet,26
straight,25
dead,24
funny,24
nice,24
famous,23
finally,23
outside,23
sorry,23
yeh,23
common,22
empty,22
exactly,22
far,22
hardly,22
rather,22
somewhere,22
horrible,21
however,21
alone,20
anyway,20
different,20
front,20
huge,20
slowly,20
strange,20
stupid,20
together,20
fast,19
maybe,19
safe,19
third,19
though,19
bright,18
no,18
perhaps,18
round,18
usual,18
close,17
pale,17
dear,16
important,16
instead,16
ter,16
terrible,16
wrong,16
also,15
angry,15
deep,15
late,15
pleased,15
wide,15
ahead,14
free,14
low,14
lucky,14
mad,14
nervous,14
quietly,14
sudden,14
tiny,14
true,14
twice,14
worse,14
yer,14
ago,13
apart,13
carefully,13
happy,13
obviously,13
odd,13
ready,13
several,13
thick,13
upstairs,13
blue,12
easy,12
heavy,12
loud,12
nasty,12
past,12
possible,12
powerful,12
quiet,12
real,12
tall,12
after,11
busy,11
clearly,11
difficult,11
furiously,11
glad,11
least,11
loudly,11
nearer,11
nervously,11
probably,11
scared,11
sharp,11
somehow,11
soon,11
usually,11
worried,11
careful,10
closer,10
dangerous,10
flat,10
gold,10
invisible,10
less,10
narrow,10
normal,10
silver,10
single,10
top,10
unicorn,10
afraid,9
along,9
fat,9
furious,9
indeed,9
interesting,9
ordinary,9
pink,9
poor,9
silent,9
trouble,9
young,9
asleep,8
certainly,8
damp,8
Dumbledore,8
forbidden,8
giant,8
golden,8
interested,8
often,8
owl,8
quick,8
simply,8
tight,8
wild,8
worth,8
angrily,7
anymore,7
anywhere,7
brown,7
clear,7
curious,7
eagerly,7
easily,7
excellent,7
gray,7
higher,7
hot,7
left,7
loudlly,7
magical,7
particularly,7
properly,7
proud,7
purple,7
safely,7
sharply,7
shocked,7
sick,7
silently,7
slightly,7
solid,7
sometimes,7
special,7
such,7
alive,6
brave,6
clean,6
completely,6
either,6
everywhere,6
excitedly,6
extra,6
gently,6
Great,6
halfway,6
harder,6
honestly,6
mysterious,6
nearest,6
Neville,6
older,6
overhead,6
perfect,6
relieved,6
rid,6
secret,6
shut,6
soft,6
through,6
useful,6
wherever,6
wizard,6
wonderful,6
wooden,6
yellow,6
youngest,6
above,5
anxiously,5
backward,5
badly,5
barely,5
curiously,5
darkly,5
disappear,5
enormous,5
every,5
evil,5
fine,5
forever,5
friendly,5
gone,5
greatest,5
half,5
happily,5
human,5
hungry,5
ill,5
impressed,5
marble,5
meanwhile,5
miserably,5
neat,5
opposite,5
perfectly,5
possibly,5
pretty,5
proper,5
roast,5
short,5
strangely,5
that,5
thin,5
thing,5
tightly,5
unusual,5
warm,5
weak,5
worst,5
any,4
aside,4
bald,4
beautiful,4
below,4
bound,4
brightly,4
brilliant,4
casually,4
coldly,4
complete,4
confused,4
deeper,4
deeply,4
delicious,4
delighted,4
desperate,4
desperately,4
dirty,4
distant,4
early,4
excited,4
extremely,4
fair,4
faster,4
frantically,4
hair,4
heavily,4
Hedwig,4
home,4
immediately,4
impossible,4
incredible,4
library,4
light,4
lower,4
magic,4
Malfoy,4
merrily,4
obvious,4
orange,4
point,4
Potter,4
rare,4
recent,4
roughly,4
rude,4
serious,4
shortly,4
sir,4
smallest,4
softly,4
spiral,4
squashy,4
stern,4
strongly,4
surprised,4
tired,4
unfortunately,4
unpleasant,4
wet,4
wildly,4
younger,4
awake,3
bigger,3
biggest,3
bitterly,3
bloody,3
both,3
broken,3
calmly,3
chat,3
cheerfully,3
closely,3
colder,3
cool,3
coolly,3
definitely,3
double,3
downstairs,3
downward,3
earlier,3
easier,3
eleven,3
especially,3
face,3
faced,3
Fang,3
favorite,3
firmly,3
fun,3
gigantic,3
gloomy,3
grateful,3
grufinitely,3
haire,3
Headless,3
horribly,3
impatiently,3
involve,3
iron,3
irritably,3
key,3
kind,3
knobbly,3
lately,3
leave,3
Lily,3
live,3
longer,3
lose,3
lumpy,3
middle,3
modern,3
normally,3
norwegian,3
nowhere,3
oldest,3
painful,3
peculiar,3
phoenix,3
plain,3
plastic,3
pointed,3
present,3
private,3
proudly,3
pure,3
quicker,3
Quirrell,3
sad,3
sadly,3
sandy,3
shiny,3
silly,3
simple,3
sleepily,3
sleepy,3
slow,3
smaller,3
smile,3
smooth,3
sooner,3
spindly,3
stifinitely,3
strong,3
surely,3
sweet,3
swiftly,3
tallest,3
tricky,3
underground,3
upset,3
upward,3
vast,3
Weasley,3
wise,3
yellowish,3
absolutely,2
accidentally,2
across,2
actually,2
afterward,2
ajar,2
aloud,2
amazed,2
ancient,2
anxious,2
armed,2
battered,2
bin,2
blank,2
blonde,2
bored,2
boring,2
brandy,2
bravely,2
braver,2
breathlessly,2
briskly,2
broad,2
bushy,2
by,2
calm,2
cheerful,2
chosen,2
comfortable,2
complicated,2
concerned,2
contrary,2
cover,2
crazy,2
crystal,2
daily,2
dare,2
deadly,2
determined,2
disgusting,2
doubt,2
dry,2
eager,2
embarrassed,2
emerald,2
everythin,2
extraordinary,2
facedown,2
faintest,2
faintly,2
fastest,2
feeble,2
fer,2
fewer,2
fiercely,2
flatly,2
fluffy,2
fond,2
foolish,2
forehead,2
forgive,2
fourth,2
frightening,2
Goyle,2
greasy,2
grimly,2
grubby,2
grumpily,2
Gryffindor,2
hairy,2
happier,2
head,2
heavier,2
hidden,2
hoarse,2
hopefully,2
How,2
hungrily,2
illegal,2
importantly,2
instent,2
involved,2
keen,2
kindly,2
lighted,2
locked,2
loudest,2
luminous,2
madly,2
magnificent,2
mahogany,2
main,2
mainly,2
massive,2
mean,2
mere,2
miserable,2
monstrous,2
Muggle,2
nastily,2
natural,2
nearby,2
neatly,2
netle,2
nicer,2
noble,2
noisy,2
oddly,2
okay,2
onward,2
outstanding,2
outta,2
packed,2
painfully,2
plainly,2
poisonous,2
precious,2
public,2
rear,2
remote,2
rest,2
rich,2
ridiculous,2
safest,2
seriously,2
set,2
seventh,2
shabby,2
shaggy,2
shake,2
shakily,2
sideway,2
silvery,2
skinny,2
skyward,2
slight,2
smoothly,2
Snape,2
snowy,2
sore,2
sort,2
spectacular,2
splendid,2
spot,2
sticky,2
strict,2
stuck,2
stupidly,2
sunny,2
surprise,2
sweaty,2
taller,2
terrified,2
therefore,2
thoughtfully,2
timidly,2
unable,2
unblinkingly,2
uncertainly,2
underneath,2
uneasy,2
unknown,2
untidy,2
urgently,2
valuable,2
vigorously,2
visible,2
Vol,2
weird,2
whenever,2
wider,2
wilder,2
with,2
would,2
Yer,2
-got,1
'rent,1
a,1
aback,1
abnormal,1
aboard,1
absurd,1
abysmal,1
acid,1
admirable,1
admire,1
Adrian,1
advanced,1
african,1
agony,1
Ahern,1
airily,1
alot,1
amaze,1
ambling,1
angrier,1
annoye,1
annoyed,1
annoying,1
AntiCheating,1
apple,1
archway,1
argue,1
ashamed,1
ashen,1
astonishing,1
astonishingly,1
attractive,1
award,1
awful,1
awkward,1
awkwardly,1
baby,1
bare,1
basic,1
basketball,1
batter,1
batty,1
beady,1
beast,1
bedtime,1
beefy,1
bendy,1
bent,1
biased,1
bitten,1
bitter,1
blankly,1
blast,1
blinding,1
blissfully,1
blond,1
boastful,1
bolt,1
Bonfire,1
bossy,1
brary,1
brazilian,1
breakfast,1
breezy,1
Bright,1
Brilliant,1
brilliantly,1
broadly,1
broom,1
brother,1
bry,1
bully,1
bunny,1
burly,1
burned,1
burnt,1
carelessly,1
certain,1
cheap,1
childishly,1
choose,1
clever,1
cloudy,1
collapsible,1
comfor,1
comforting,1
compartment,1
complex,1
concern,1
confuse,1
confusing,1
constantly,1
convinced,1
corned,1
courageous,1
cozy,1
creepy,1
crisply,1
crossly,1
crowd,1
crowded,1
cruel,1
cure,1
curly,1
currently,1
cursed,1
cut,1
dangerously,1
Dean,1
dearest,1
dearly,1
decent,1
deepest,1
defenseless,1
delay,1
delicate,1
delicately,1
delighte,1
depressed,1
determine,1
diagonally,1
diff,1
diff'rent,1
differently,1
dinnertime,1
directly,1
disappointed,1
disapprovingly,1
disgruntl,1
disgruntled,1
distinctly,1
door,1
dormitory,1
downright,1
dramatically,1
draw,1
dreamily,1
drive,1
drunk,1
due,1
dully,1
dumbfounded,1
dumpy,1
dusty,1
dwarf,1
dwell,1
eagle,1
ear,1
easiest,1
eat,1
ebony,1
eerie,1
elastic,1
elephant,1
emptier,1
endless,1
English,1
enviously,1
er...,1
everything,1
exact,1
fabulous,1
faithful,1
faithfully,1
familiar,1
family,1
fantastic,1
farther,1
fashioned,1
fateful,1
father,1
ferociously,1
feverishly,1
fierce,1
filthy,1
finest,1
fishy,1
fixedly,1
flame,1
flashy,1
flavor,1
flexible,1
flick,1
Flint,1
fluid,1
flung,1
Flush,1
flushed,1
fly,1
fondly,1
foretold,1
forevermore,1
forgotten,1
Foribidden,1
fortunately,1
foul,1
Foul,1
frantic,1
freeze,1
freezing,1
frightened,1
ful,1
fully,1
furl,1
further,1
g,1
gentle,1
get,1
gingerly,1
gleefully,1
gloatingly,1
gloomily,1
glumly,1
go,1
goblin,1
grab,1
gradually,1
Gran,1
grayish,1
greasily,1
grim,1
grudgingly,1
guilty,1
halfheartedly,1
Halloween,1
handsome,1
handy,1
hang,1
happiest,1
Harry,1
hat,1
hate,1
headless,1
heard,1
helplessly,1
Hermione,1
hide,1
hind,1
hobably,1
homemade,1
honest,1
hopeful,1
horny,1
horrified,1
hotly,1
hurriedly,1
hut,1
hygienic,1
ickle,1
Ickle,1
icy,1
Icy,1
identical,1
idly,1
if,1
immortal,1
impatient,1
imprecise,1
impressively,1
incredibly,1
indoors,1
infernal,1
inky,1
innocent,1
instantly,1
intently,1
interestinglooking,1
James,1
jealous,1
joy,1
juicy,1
jumpy,1
keep,1
know,1
laden,1
laid,1
larger,1
largest,1
latest,1
laugh,1
lazily,1
leapt,1
legendary,1
lemon,1
let,1
Library,1
lighter,1
lightest,1
like,1
likely,1
limp,1
litle,1
lo,1
local,1
lock,1
lonely,1
longest,1
longingly,1
loopy,1
lost,1
louder,1
lovely,1
loyal,1
Malfoys,1
maroon,1
married,1
material,1
matter,1
meant,1
merely,1
miffed,1
mighto,1
Mind,1
minded,1
misty,1
moldy,1
mostly,1
motionless,1
move,1
muddy,1
muscular,1
musty,1
mutely,1
myst,1
mysteriously,1
narrowly,1
nastier,1
naturally,1
near,1
nearsighted,1
necessary,1
neither,1
nevertheless,1
nighttime,1
ninth,1
noise,1
noiselessly,1
nonexplodable,1
nonmagic,1
nose,1
nosy,1
notable,1
numbly,1
oak,1
Oddment,1
offend,1
offhand,1
ornate,1
otherwise,1
outstretched,1
overcoat,1
overgrown,1
pea,1
peaceful,1
pearly,1
Pearly,1
pepper,1
personal,1
personally,1
playfully,1
Pliable,1
polite,1
politely,1
Pompously,1
poorer,1
popular,1
positive,1
positively,1
powder,1
practical,1
precisely,1
prefect,1
pretend,1
privately,1
Privately,1
promisi,1
promptly,1
proof,1
protective,1
proudest,1
quarter,1
Quick,1
Quidditch,1
rac,1
rapidly,1
rarely,1
rattle,1
Ravenclaw,1
raw,1
reasonably,1
reddish,1
related,1
relaxed,1
remarkably,1
resident,1
responsible,1
rickety,1
risky,1
ruddy,1
Ruddy,1
ruefully,1
saintly,1
sallow,1
scarlet,1
scratchy,1
Seamus,1
secondary,1
secretly,1
selfish,1
sensible,1
separately,1
servant,1
sevente,1
severe,1
shadowy,1
shaken,1
shapeless,1
sharper,1
sheer,1
shoute,1
show,1
shrill,1
shrilly,1
silkily,1
similar,1
sincerely,1
sinister,1
sixth,1
skinnier,1
slamm,1
sleek,1
slender,1
slightest,1
slimy,1
slippery,1
slyly,1
Slytherins,1
smarter,1
smartly,1
smelly,1
smiling,1
smoother,1
sniffy,1
soccer,1
softest,1
somefink,1
sometime,1
sorrowful,1
specially,1
spectacularly,1
speechless,1
spiny,1
square,1
squashed,1
squeaky,1
sre,1
st,1
stale,1
standard,1
steadily,1
steady,1
steal,1
steeply,1
sternly,1
stick,1
stiff,1
stiffily,1
stifle,1
strictly,1
strid,1
striding,1
stronger,1
stunned,1
stupidest,1
subtle,1
sugar,1
summat,1
supple,1
suspicious,1
sweep,1
Swish,1
swishy,1
swoop,1
swore,1
t-t,1
tartan,1
tasty,1
tawny,1
tearful,1
teddy,1
tell,1
thankful,1
thicker,1
thickly,1
thinnest,1
thirteen,1
thirty,1
thrown,1
thunderous,1
thus,1
tidy,1
tin,1
tire,1
tonight,1
topmost,1
transparent,1
tree,1
trodden,1
troublesome,1
truly,1
truthful,1
turban,1
twisted,1
typical,1
ugly,1
unafraid,1
unbearable,1
unbelievable,1
unbroken,1
uncomfortable,1
unDursleyish,1
unexpected,1
unfair,1
unfortunate,1
unlocked,1
unluckily,1
unpopular,1
unseen,1
unsettled,1
untouched,1
unused,1
unusually,1
Unusually,1
unwelcome,1
upper,1
upturned,1
urgent,1
useless,1
utter,1
vain,1
Vaull,1
vault,1
viciious,1
violent,1
violently,1
Voldemort,1
waddl,1
warmer,1
watery,1
way,1
weakly,1
weekly,1
weigh,1
weirdest,1
welcome,1
were,1
whiskery,1
whistling,1
wicked,1
wickedly,1
widely,1
willing,1
win,1
wit,1
Wizard,1
woolen,1
wounded,1
wove,1
wrongly,1
y,1
YouKnow,1
